realtime_start,realtime_end,value,date
2013-01-01,2018-10-11,260153,2018-10-11
2013-02-01,2018-10-11,265375,2018-10-11
2013-03-01,2018-10-11,254966,2018-10-11
2013-04-01,2018-10-11,264528,2018-10-11
2013-05-01,2018-10-11,264200,2018-10-11
2013-06-01,2018-10-11,265821,2018-10-11
2013-07-01,2018-10-11,267622,2018-10-11
2013-08-01,2018-10-11,267956,2018-10-11
2013-09-01,2018-10-11,266811,2018-10-11
2013-10-01,2018-10-11,267308,2018-10-11
2013-11-01,2018-10-11,264306,2018-10-11
2013-12-01,2018-10-11,262815,2018-10-11
2014-01-01,2018-10-11,260007,2018-10-11
2014-02-01,2018-10-11,257750,2018-10-11
2014-03-01,2018-10-11,260174,2018-10-11
2014-04-01,2018-10-11,267838,2018-10-11
2014-05-01,2018-10-11,270560,2018-10-11
2014-06-01,2018-10-11,270325,2018-10-11
2014-07-01,2018-10-11,278126,2018-10-11
2014-08-01,2018-10-11,275758,2018-10-11
2014-09-01,2018-10-11,270801,2018-10-11
2014-10-01,2018-10-11,282479,2018-10-11
2014-11-01,2018-10-11,272816,2018-10-11
2014-12-01,2018-10-11,277308,2018-10-11
2015-01-01,2018-10-11,269397,2018-10-11
2015-02-01,2018-10-11,270794,2018-10-11
2015-03-01,2018-10-11,273855,2018-10-11
2015-04-01,2018-10-11,284012,2018-10-11
2015-05-01,2018-10-11,286194,2018-10-11
2015-06-01,2018-10-11,293553,2018-10-11
2015-07-01,2018-10-11,292703,2018-10-11
2015-08-01,2018-10-11,294344,2018-10-11
2015-09-01,2018-10-11,288441,2018-10-11
2015-10-01,2018-10-11,280573,2018-10-11
2015-11-01,2018-10-11,275671,2018-10-11
2015-12-01,2018-10-11,282143,2018-10-11
2016-01-01,2018-10-11,294885,2018-10-11
2016-02-01,2018-10-11,294411,2018-10-11
2016-03-01,2018-10-11,291828,2018-10-11
2016-04-01,2018-10-11,287725,2018-10-11
2016-05-01,2018-10-11,285760,2018-10-11
2016-06-01,2018-10-11,291831,2018-10-11
2016-07-01,2018-10-11,281694,2018-10-11
2016-08-01,2018-10-11,278721,2018-10-11
2016-09-01,2018-10-11,282834,2018-10-11
2016-10-01,2018-10-11,282374,2018-10-11
2016-11-01,2018-10-11,285636,2018-10-11
2016-12-01,2018-10-11,280195,2018-10-11
2017-01-01,2018-10-11,272391,2018-10-11
2017-02-01,2018-10-11,279422,2018-10-11
2017-03-01,2018-10-11,280624,2018-10-11
2017-04-01,2018-10-11,272929,2018-10-11
2017-05-01,2018-10-11,283448,2018-10-11
2017-06-01,2018-10-11,276903,2018-10-11
2017-07-01,2018-10-11,274706,2018-10-11
2017-08-01,2018-10-11,271455,2018-10-11
2017-09-01,2018-10-11,271813,2018-10-11
2017-10-01,2018-10-11,279488,2018-10-11
2017-11-01,2018-10-11,279441,2018-10-11
2017-12-01,2018-10-11,282578,2018-10-11
2018-01-01,2018-10-11,283693,2018-10-11
2018-02-01,2018-10-11,285475,2018-10-11
2018-03-01,2018-10-11,288561,2018-10-11
2018-04-01,2018-10-11,292784,2018-10-11
2018-05-01,2018-10-11,300632,2018-10-11
2018-06-01,2018-10-11,298898,2018-10-11
2018-07-01,2018-10-11,303803,2018-10-11
2018-08-01,2018-10-11,309877,2018-10-11
